,fold,origin,horizon,family,MASE,MAE,RMSE,BIC,LB_min,order,seasonal_order,trend,seasonal,seasonal_periods,season_length,decomposition_type
38,1,2024-07-16,42,SARIMAX,1.5183035944710015,19.304145701131304,21.840573560080614,1548.4901419987104,0.33635614808817776,"(2, 1, 0)","(0, 0, 0, 14)",t,,,,
39,1,2024-07-16,42,SARIMAX,1.5183035944710015,19.304145701131304,21.840573560080614,1548.4901419987104,0.33635614808817776,"(2, 1, 0)","(0, 0, 0, 7)",t,,,,
40,1,2024-07-16,42,SARIMAX,0.8735277162291111,11.106280963484412,13.860348396206149,1540.5232343368948,0.7543804057271526,"(2, 1, 1)","(0, 0, 0, 14)",t,,,,
41,1,2024-07-16,42,SARIMAX,0.8735277162291111,11.106280963484412,13.860348396206149,1540.5232343368948,0.7543804057271526,"(2, 1, 1)","(0, 0, 0, 7)",t,,,,
42,1,2024-07-16,42,SARIMAX,0.8705321897000932,11.068194983329755,13.83431530895875,1538.4030249032987,0.6665065731009514,"(2, 1, 2)","(0, 0, 0, 14)",t,,,,
43,1,2024-07-16,42,SARIMAX,0.8705321897000932,11.068194983329755,13.83431530895875,1538.4030249032987,0.6665065731009514,"(2, 1, 2)","(0, 0, 0, 7)",t,,,,
44,2,2024-08-27,42,SARIMAX,1.2026159172998014,15.553158796003315,18.72570448480919,1862.1582035400634,0.44349312130368895,"(0, 1, 1)","(0, 0, 0, 14)",n,,,,
45,2,2024-08-27,42,SARIMAX,1.2026159172998014,15.553158796003315,18.72570448480919,1862.1582035400634,0.44349312130368895,"(0, 1, 1)","(0, 0, 0, 7)",n,,,,
46,2,2024-08-27,42,SARIMAX,1.205846824221094,15.594943382153478,18.782433834142616,1860.309224330274,0.5219186992293958,"(0, 1, 2)","(0, 0, 0, 14)",n,,,,
47,2,2024-08-27,42,SARIMAX,1.205846824221094,15.594943382153478,18.782433834142616,1860.309224330274,0.5219186992293958,"(0, 1, 2)","(0, 0, 0, 7)",n,,,,
48,2,2024-08-27,42,SARIMAX,1.1060050088822309,14.303711837560952,17.254661610105906,1881.071408656876,0.41553473055445767,"(1, 0, 1)","(0, 0, 0, 14)",n,,,,
49,2,2024-08-27,42,SARIMAX,1.1060050088822309,14.303711837560952,17.254661610105906,1881.071408656876,0.41553473055445767,"(1, 0, 1)","(0, 0, 0, 7)",n,,,,
50,2,2024-08-27,42,SARIMAX,1.205361304333709,15.588664263609902,18.773293522573045,1867.5656182603416,0.4226672552182412,"(1, 1, 1)","(0, 0, 0, 14)",n,,,,
51,2,2024-08-27,42,SARIMAX,1.205361304333709,15.588664263609902,18.773293522573045,1867.5656182603416,0.4226672552182412,"(1, 1, 1)","(0, 0, 0, 7)",n,,,,
52,2,2024-08-27,42,SARIMAX,1.204023121317694,15.571357846285135,18.75322468148305,1865.6404024463068,0.5156880213947502,"(1, 1, 2)","(0, 0, 0, 14)",n,,,,
53,2,2024-08-27,42,SARIMAX,1.204023121317694,15.571357846285135,18.75322468148305,1865.6404024463068,0.5156880213947502,"(1, 1, 2)","(0, 0, 0, 7)",n,,,,
54,2,2024-08-27,42,SARIMAX,1.0259250298406954,13.268055638023785,16.003956511078734,1887.4249635897281,0.3895236999846891,"(2, 0, 1)","(0, 0, 0, 14)",n,,,,
55,2,2024-08-27,42,SARIMAX,1.0259250298406954,13.268055638023785,16.003956511078734,1887.4249635897281,0.3895236999846891,"(2, 0, 1)","(0, 0, 0, 7)",n,,,,
56,2,2024-08-27,42,SARIMAX,1.2083677338386987,15.627545734266867,18.813796999340415,1872.3107631921728,0.4753042037382045,"(2, 1, 1)","(0, 0, 0, 14)",n,,,,
57,2,2024-08-27,42,SARIMAX,1.2083677338386987,15.627545734266867,18.813796999340415,1872.3107631921728,0.4753042037382045,"(2, 1, 1)","(0, 0, 0, 7)",n,,,,
58,2,2024-08-27,42,SARIMAX,1.2114617229877382,15.66755959393386,18.842403070412182,1870.3394503124025,0.4587867210336305,"(2, 1, 2)","(0, 0, 0, 14)",n,,,,
59,2,2024-08-27,42,SARIMAX,1.2114617229877382,15.66755959393386,18.842403070412182,1870.3394503124025,0.4587867210336305,"(2, 1, 2)","(0, 0, 0, 7)",n,,,,
60,2,2024-08-27,42,SARIMAX,0.8493138309278755,10.983983073932777,14.471170177472459,1862.641200074761,0.6876915641625166,"(0, 1, 1)","(0, 0, 0, 14)",t,,,,
61,2,2024-08-27,42,SARIMAX,0.8493138309278755,10.983983073932777,14.471170177472459,1862.641200074761,0.6876915641625166,"(0, 1, 1)","(0, 0, 0, 7)",t,,,,
62,2,2024-08-27,42,SARIMAX,0.8578123008897797,11.093891857725806,14.621726071263952,1860.9056485309075,0.7610054287142756,"(0, 1, 2)","(0, 0, 0, 14)",t,,,,
63,2,2024-08-27,42,SARIMAX,0.8578123008897797,11.093891857725806,14.621726071263952,1860.9056485309075,0.7610054287142756,"(0, 1, 2)","(0, 0, 0, 7)",t,,,,
64,2,2024-08-27,42,SARIMAX,4.767236436303574,61.653587188833626,71.58703107634479,2648.299068371768,0.411198145628897,"(1, 0, 1)","(0, 0, 0, 14)",t,,,,
65,2,2024-08-27,42,SARIMAX,4.767236436303574,61.653587188833626,71.58703107634479,2648.299068371768,0.411198145628897,"(1, 0, 1)","(0, 0, 0, 7)",t,,,,
66,2,2024-08-27,42,SARIMAX,0.8728321032722578,11.288139554084074,14.833826570332349,1867.9122454325413,0.68213689104692,"(1, 1, 1)","(0, 0, 0, 14)",t,,,,
67,2,2024-08-27,42,SARIMAX,0.8728321032722578,11.288139554084074,14.833826570332349,1867.9122454325413,0.68213689104692,"(1, 1, 1)","(0, 0, 0, 7)",t,,,,
68,2,2024-08-27,42,SARIMAX,0.8816852566756515,11.402635378351492,14.848456830828384,1865.143074874202,0.6815251232945139,"(1, 1, 2)","(0, 0, 0, 14)",t,,,,
69,2,2024-08-27,42,SARIMAX,0.8816852566756515,11.402635378351492,14.848456830828384,1865.143074874202,0.6815251232945139,"(1, 1, 2)","(0, 0, 0, 7)",t,,,,
70,2,2024-08-27,42,SARIMAX,4.690788656064097,60.66490539229113,69.66095481162645,2647.7941008399434,0.26436652601507554,"(2, 0, 1)","(0, 0, 0, 14)",t,,,,
71,2,2024-08-27,42,SARIMAX,4.690788656064097,60.66490539229113,69.66095481162645,2647.7941008399434,0.26436652601507554,"(2, 0, 1)","(0, 0, 0, 7)",t,,,,
72,2,2024-08-27,42,SARIMAX,4.679670353271463,60.52111490491414,69.92872697697732,2637.4270385631253,0.2406569922312325,"(2, 0, 2)","(0, 0, 0, 14)",t,,,,
73,2,2024-08-27,42,SARIMAX,4.679670353271463,60.52111490491414,69.92872697697732,2637.4270385631253,0.2406569922312325,"(2, 0, 2)","(0, 0, 0, 7)",t,,,,
74,2,2024-08-27,42,SARIMAX,0.8478311297317493,10.964807635774473,14.432508953150212,1872.7924265134423,0.7291225308783887,"(2, 1, 1)","(0, 0, 0, 14)",t,,,,
75,2,2024-08-27,42,SARIMAX,0.8478311297317493,10.964807635774473,14.432508953150212,1872.7924265134423,0.7291225308783887,"(2, 1, 1)","(0, 0, 0, 7)",t,,,,
76,2,2024-08-27,42,SARIMAX,0.8545494968326568,11.051694753155116,14.529179250043754,1870.8624307887203,0.7327858770775335,"(2, 1, 2)","(0, 0, 0, 14)",t,,,,
77,2,2024-08-27,42,SARIMAX,0.8545494968326568,11.051694753155116,14.529179250043754,1870.8624307887203,0.7327858770775335,"(2, 1, 2)","(0, 0, 0, 7)",t,,,,
78,3,2024-10-08,42,SARIMAX,1.0055248217196695,13.30524808739777,15.604618146387928,2198.451501040123,0.5614817642450676,"(0, 1, 1)","(0, 0, 0, 14)",n,,,,
79,3,2024-10-08,42,SARIMAX,1.0055248217196695,13.30524808739777,15.604618146387928,2198.451501040123,0.5614817642450676,"(0, 1, 1)","(0, 0, 0, 7)",n,,,,
80,3,2024-10-08,42,SARIMAX,1.004608381926203,13.293121625130652,15.594700062562147,2196.6683222912507,0.6236631477562887,"(0, 1, 2)","(0, 0, 0, 14)",n,,,,
81,3,2024-10-08,42,SARIMAX,1.004608381926203,13.293121625130652,15.594700062562147,2196.6683222912507,0.6236631477562887,"(0, 1, 2)","(0, 0, 0, 7)",n,,,,
82,3,2024-10-08,42,SARIMAX,1.0941453313852656,14.477887331365748,16.918361034577625,2216.9639504323613,0.5253652891882329,"(1, 0, 1)","(0, 0, 0, 14)",n,,,,
83,3,2024-10-08,42,SARIMAX,1.0941453313852656,14.477887331365748,16.918361034577625,2216.9639504323613,0.5253652891882329,"(1, 0, 1)","(0, 0, 0, 7)",n,,,,
84,3,2024-10-08,42,SARIMAX,1.1111194565326459,14.702491380190903,17.182797918922056,2209.6126532600574,0.6302862034285376,"(1, 0, 2)","(0, 0, 0, 14)",n,,,,
85,3,2024-10-08,42,SARIMAX,1.1111194565326459,14.702491380190903,17.182797918922056,2209.6126532600574,0.6302862034285376,"(1, 0, 2)","(0, 0, 0, 7)",n,,,,
86,3,2024-10-08,42,SARIMAX,1.005134866540085,13.300088144753627,15.60171917774163,2203.968217115878,0.5658717032351145,"(1, 1, 1)","(0, 0, 0, 14)",n,,,,
87,3,2024-10-08,42,SARIMAX,1.005134866540085,13.300088144753627,15.60171917774163,2203.968217115878,0.5658717032351145,"(1, 1, 1)","(0, 0, 0, 7)",n,,,,
88,3,2024-10-08,42,SARIMAX,1.0050570583524914,13.29905857569993,15.600406533397509,2202.06466893024,0.628757777192157,"(1, 1, 2)","(0, 0, 0, 14)",n,,,,
89,3,2024-10-08,42,SARIMAX,1.0050570583524914,13.29905857569993,15.600406533397509,2202.06466893024,0.628757777192157,"(1, 1, 2)","(0, 0, 0, 7)",n,,,,
90,3,2024-10-08,42,SARIMAX,1.1071257307468894,14.649645830061518,17.339899762872673,2254.610339730067,0.09667131838399436,"(2, 0, 1)","(0, 0, 0, 14)",n,,,,
91,3,2024-10-08,42,SARIMAX,1.1071257307468894,14.649645830061518,17.339899762872673,2254.610339730067,0.09667131838399436,"(2, 0, 1)","(0, 0, 0, 7)",n,,,,
92,3,2024-10-08,42,SARIMAX,3.9952643445258555,52.86590855881534,59.54961696333804,3016.9925616706673,0.7899037032435469,"(2, 0, 2)","(0, 0, 0, 14)",n,,,,
93,3,2024-10-08,42,SARIMAX,3.9952643445258555,52.86590855881534,59.54961696333804,3016.9925616706673,0.7899037032435469,"(2, 0, 2)","(0, 0, 0, 7)",n,,,,
94,3,2024-10-08,42,SARIMAX,1.0054579353713284,13.304363037681329,15.605562036550337,2209.1583675633647,0.6016311746057934,"(2, 1, 1)","(0, 0, 0, 14)",n,,,,
95,3,2024-10-08,42,SARIMAX,1.0054579353713284,13.304363037681329,15.605562036550337,2209.1583675633647,0.6016311746057934,"(2, 1, 1)","(0, 0, 0, 7)",n,,,,
96,3,2024-10-08,42,SARIMAX,1.0045107316532602,13.291829502769033,15.59380953787201,2207.6691262326144,0.6179140582809396,"(2, 1, 2)","(0, 0, 0, 14)",n,,,,
97,3,2024-10-08,42,SARIMAX,1.0045107316532602,13.291829502769033,15.59380953787201,2207.6691262326144,0.6179140582809396,"(2, 1, 2)","(0, 0, 0, 7)",n,,,,
98,3,2024-10-08,42,SARIMAX,2.1455407410481317,28.39010159136903,33.01907685297931,2197.5828598447456,0.642333490088384,"(0, 1, 1)","(0, 0, 0, 14)",t,,,,
99,3,2024-10-08,42,SARIMAX,2.1455407410481317,28.39010159136903,33.01907685297931,2197.5828598447456,0.642333490088384,"(0, 1, 1)","(0, 0, 0, 7)",t,,,,
100,3,2024-10-08,42,SARIMAX,2.108806164520117,27.90402442695369,32.4095217389317,2195.860899216818,0.6959300245891347,"(0, 1, 2)","(0, 0, 0, 14)",t,,,,
101,3,2024-10-08,42,SARIMAX,2.108806164520117,27.90402442695369,32.4095217389317,2195.860899216818,0.6959300245891347,"(0, 1, 2)","(0, 0, 0, 7)",t,,,,
102,3,2024-10-08,42,SARIMAX,2.776791219061183,36.74289809507744,43.49193260736732,2247.563219871676,0.3955627516152146,"(1, 0, 1)","(0, 0, 0, 14)",t,,,,
103,3,2024-10-08,42,SARIMAX,2.776791219061183,36.74289809507744,43.49193260736732,2247.563219871676,0.3955627516152146,"(1, 0, 1)","(0, 0, 0, 7)",t,,,,
104,3,2024-10-08,42,SARIMAX,2.1665083852460185,28.667548454773208,33.243534710846895,2203.7963370800735,0.6746079816857654,"(1, 1, 1)","(0, 0, 0, 14)",t,,,,
105,3,2024-10-08,42,SARIMAX,2.1665083852460185,28.667548454773208,33.243534710846895,2203.7963370800735,0.6746079816857654,"(1, 1, 1)","(0, 0, 0, 7)",t,,,,
106,3,2024-10-08,42,SARIMAX,2.162759322538738,28.617940321450085,33.20093043809478,2201.585778182942,0.7082024813625237,"(1, 1, 2)","(0, 0, 0, 14)",t,,,,
107,3,2024-10-08,42,SARIMAX,2.162759322538738,28.617940321450085,33.20093043809478,2201.585778182942,0.7082024813625237,"(1, 1, 2)","(0, 0, 0, 7)",t,,,,
108,3,2024-10-08,42,SARIMAX,4.726585975014026,62.542860847953456,73.68602415592377,3033.1261616058327,0.8181811182086884,"(2, 0, 2)","(0, 0, 0, 14)",t,,,,
